ingredient_id,ingredient_name,norm_name,matched_product,match_score,unit,category
0,TJ’s Salted Butter,butter,butter,0.6917406,,Dairy & Eggs
1,TJ’s Fresh Garlic,garlic,garlic,0.7989736,,Snacks & Sweets
2,TJ’s Fresh Ginger,ginger,ginger,0.7044771,,For the Pantry
3,"TJ’s Jasmine Rice, rinsed",jasmine rice,Jasmine Rice From Thailand,0.8685994,3 Lb,For the Pantry
4,hot water,hot water,hot water,0.4989838,,"Meat, Seafood & Plant-Based"
5,TJ’s Chicken Broth Concentrate packets,chicken broth,Chicken Broth Concentrate,0.99999976,4.06 Oz,For the Pantry
6,"TJ’s Green Onion, thinly sliced on a bias",green onion,Green Onions,0.9420544,6 Oz,Fresh Fruits & Veggies
7,TJ’s Pork Tenderloin,pork tenderloin,pork tenderloin,0.6566675,,"Meat, Seafood & Plant-Based"
8,TJ’s Mushroom & Company Multipurpose Umami Seasoning Blend,mushroom & company multipurpose umami seasoning blend,TJ's Mushroom & Company Multipurpose Umami Seasoning Blend,1.0000001,2.1 Oz,For the Pantry
9,"TJ’s Avocado Oil, divided",avocado oil,Avocado Oil,1.0000001,16.9 Fl Oz,For the Pantry
10,"TJ’s Teeny Tiny Potatoes, sliced in half, lengthwise",potatoes,Mashed Potatoes,1.0000002,28 Oz,From the Freezer
11,"TJ’s Unsalted Butter, softened",butter,butter,0.6917406,,Dairy & Eggs
12,TJ’s Honey,honey,honey,0.64017487,,For the Pantry
13,TJ’s Avocado Oil,avocado oil,Avocado Oil,1.0000001,16.9 Fl Oz,For the Pantry
14,"TJ’s Baby Shanghai Bok Choy, washed and sliced in half lengthwise",baby shanghai bok choy,Baby Shanghai Bok Choy,1.0000005,10 Oz,Fresh Fruits & Veggies
15,water,water,water,0.4325205,,Fresh Prepared Foods
16,TJ’s Organic Coconut Aminos,coconut aminos,coconut aminos,0.7425799,,"Dips, Sauces & Dressings"
17,TJ’s Organic Toasted Sesame Oil,sesame oil,Organic Toasted Sesame Oil,1.0000002,5 Fl Oz,For the Pantry
18,"TJ’s Crispy Garlic, to garnish",crispy garlic,Crispy Garlic,1.0000002,4 Oz,Snacks & Sweets
19,"TJ’s Yellow Potato, thinly sliced using a mandoline or knife",yellow potato,yellow potato,0.7733264,,Fresh Fruits & Veggies
20,"TJ’s Extra Virgin Olive Oil, divided",extra virgin olive oil,"Extra Virgin Olive Oil, Liter",0.99999994,33.8 Fl Oz,For the Pantry
21,TJ’s Seasoning Salute,salute,salute,0.30201373,,For the Pantry
22,TJ’s Sea Salt,sea salt,sea salt,0.71811146,,For the Pantry
23,"TJ’s Trimmed Leeks, cut into thin rounds",leeks,Trimmed Leeks,1.0000004,6 Oz,Fresh Fruits & Veggies
24,"TJ’s Pie Crust, thawed according to package instructions",pie crust,Pie Crusts,0.95152146,22 Oz,From the Freezer
25,TJ’s Shredded Unexpected Cheddar,cheddar,Unexpected Cheddar Cheese,0.9442047,7 Oz,Cheese
26,TJ’s Large Egg,egg,egg,0.69218194,,From the Freezer
