title,category,quantity_text,url,image_url,serves,time,name
Aromatic Garlic Ginger Rice,Appetizers & Sides,4 tablespoons,https://www.traderjoes.com/home/recipes/aromatic-garlic-ginger-rice,https://www.traderjoes.com/content/dam/trjo/context-images/90859-chicken-broth-concentrate-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 20 mins,butter
Aromatic Garlic Ginger Rice,Appetizers & Sides,2 tablespoons,https://www.traderjoes.com/home/recipes/aromatic-garlic-ginger-rice,https://www.traderjoes.com/content/dam/trjo/context-images/90859-chicken-broth-concentrate-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 20 mins,garlic
Aromatic Garlic Ginger Rice,Appetizers & Sides,1 tablespoon,https://www.traderjoes.com/home/recipes/aromatic-garlic-ginger-rice,https://www.traderjoes.com/content/dam/trjo/context-images/90859-chicken-broth-concentrate-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 20 mins,ginger
Aromatic Garlic Ginger Rice,Appetizers & Sides,1 cup,https://www.traderjoes.com/home/recipes/aromatic-garlic-ginger-rice,https://www.traderjoes.com/content/dam/trjo/context-images/90859-chicken-broth-concentrate-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 20 mins,jasmine rice
Aromatic Garlic Ginger Rice,Appetizers & Sides,2 cups,https://www.traderjoes.com/home/recipes/aromatic-garlic-ginger-rice,https://www.traderjoes.com/content/dam/trjo/context-images/90859-chicken-broth-concentrate-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 20 mins,hot water
Aromatic Garlic Ginger Rice,Appetizers & Sides,2,https://www.traderjoes.com/home/recipes/aromatic-garlic-ginger-rice,https://www.traderjoes.com/content/dam/trjo/context-images/90859-chicken-broth-concentrate-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 20 mins,chicken broth
Aromatic Garlic Ginger Rice,Appetizers & Sides,1,https://www.traderjoes.com/home/recipes/aromatic-garlic-ginger-rice,https://www.traderjoes.com/content/dam/trjo/context-images/90859-chicken-broth-concentrate-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 20 mins,green onion
Roasted Pork Tenderloin & Potatoes with Honey Umami Butter,Dinner,1,https://www.traderjoes.com/home/recipes/roasted-pork-tenderloin-potatoes-honey-umami-butter,https://www.traderjoes.com/content/dam/trjo/context-images/63804-umami-seasoning-pork-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 45 mins,pork tenderloin
Roasted Pork Tenderloin & Potatoes with Honey Umami Butter,Dinner,,https://www.traderjoes.com/home/recipes/roasted-pork-tenderloin-potatoes-honey-umami-butter,https://www.traderjoes.com/content/dam/trjo/context-images/63804-umami-seasoning-pork-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 45 mins,mushroom & company multipurpose umami seasoning blend
Roasted Pork Tenderloin & Potatoes with Honey Umami Butter,Dinner,3 tablespoons,https://www.traderjoes.com/home/recipes/roasted-pork-tenderloin-potatoes-honey-umami-butter,https://www.traderjoes.com/content/dam/trjo/context-images/63804-umami-seasoning-pork-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 45 mins,avocado oil
