ingredient_id,ingredient_name,norm_name,matched_product,match_score,unit,category
0,TJ’s Salted Butter,butter,"Butter with Parmesan, Garlic & Herb",0.5830462312835278,4 Oz,Dairy & Eggs
1,TJ’s Fresh Garlic,garlic,Organic Garlic Bread,0.6688124306727692,12 Oz,Bakery
2,TJ’s Fresh Ginger,ginger,Thai Sweet Ginger Sauce,0.5627786072325708,10.1 Fl Oz,"Dips, Sauces & Dressings"
3,"TJ’s Jasmine Rice, rinsed",jasmine rice,Jasmine Rice From Thailand,0.7116443041637713,3 Lb,For the Pantry
4,hot water,hot water,Hot & Sweet Jalapeños,0.36130082469999847,12 Fl Oz,For the Pantry
5,TJ’s Chicken Broth Concentrate packets,chicken broth,Chicken Broth Concentrate,1.0,4.06 Oz,For the Pantry
6,"TJ’s Green Onion, thinly sliced on a bias",green onion,Onion Salt,0.5031016611960178,2 Oz,For the Pantry
7,TJ’s Pork Tenderloin,pork tenderloin,Organic Grass Fed Tenderloin Steak,0.39160629409043135,12 Oz,"Meat, Seafood & Plant-Based"
8,TJ’s Mushroom & Company Multipurpose Umami Seasoning Blend,mushroom & company multipurpose umami seasoning blend,TJ's Mushroom & Company Multipurpose Umami Seasoning Blend,1.0000000000000002,2.1 Oz,For the Pantry
9,"TJ’s Avocado Oil, divided",avocado oil,Avocado Oil,1.0,16.9 Fl Oz,For the Pantry
10,"TJ’s Teeny Tiny Potatoes, sliced in half, lengthwise",potatoes,Mashed Potatoes,1.0,28 Oz,From the Freezer
11,"TJ’s Unsalted Butter, softened",butter,"Butter with Parmesan, Garlic & Herb",0.5830462312835278,4 Oz,Dairy & Eggs
12,TJ’s Honey,honey,Chevre with Honey,0.6476382444505135,5 Oz,Cheese
13,TJ’s Avocado Oil,avocado oil,Avocado Oil,1.0,16.9 Fl Oz,For the Pantry
14,"TJ’s Baby Shanghai Bok Choy, washed and sliced in half lengthwise",baby shanghai bok choy,Baby Shanghai Bok Choy,1.0,10 Oz,Fresh Fruits & Veggies
15,water,water,Herbed Dinner Rolls,0.0,12 Oz,Bakery
16,TJ’s Organic Coconut Aminos,coconut aminos,Organic Coconut Aminos Seasoning Sauce,0.7968720693934505,8.5 Fl Oz,"Dips, Sauces & Dressings"
17,TJ’s Organic Toasted Sesame Oil,sesame oil,Organic Toasted Sesame Oil,1.0,5 Fl Oz,For the Pantry
18,"TJ’s Crispy Garlic, to garnish",crispy garlic,Crispy Garlic,1.0,4 Oz,Snacks & Sweets
19,"TJ’s Yellow Potato, thinly sliced using a mandoline or knife",yellow potato,Sweet Potato,0.5492961067357203,1 Each,Fresh Fruits & Veggies
20,"TJ’s Extra Virgin Olive Oil, divided",extra virgin olive oil,"Extra Virgin Olive Oil, Liter",1.0000000000000002,33.8 Fl Oz,For the Pantry
21,TJ’s Seasoning Salute,salute,Herbed Dinner Rolls,0.0,12 Oz,Bakery
22,TJ’s Sea Salt,sea salt,Sea Salt Crystals,0.696144590679537,3.88 Oz,For the Pantry
23,"TJ’s Trimmed Leeks, cut into thin rounds",leeks,Trimmed Leeks,1.0,6 Oz,Fresh Fruits & Veggies
24,"TJ’s Pie Crust, thawed according to package instructions",pie crust,Pecan Pie,0.4252394620710591,24 Oz,Bakery
25,TJ’s Shredded Unexpected Cheddar,cheddar,Unexpected Cheddar Cheese,0.815277377935431,7 Oz,Cheese
26,TJ’s Large Egg,egg,Egg Salad,0.7262478102410012,10 Oz,Fresh Prepared Foods
27,TJ’s Organic Crescent Rolls,crescent rolls,Organic Crescent Rolls,1.0,8 Oz,Fresh Prepared Foods
28,"TJ’s New Zealand Sharp Cheddar Cheese (or your favorite TJ's Sharp Cheddar Cheese), sliced into thin planks",new zealand sharp cheddar cheese,New Zealand Sharp Cheddar Cheese,1.0,1 Lb,Cheese
29,TJ’s Apple Pie Spread,apple pie spread,Unexpected Cheddar Cheese Spread,0.409823137322007,9 Oz,Cheese
30,"TJ’s Apple Chip Duo, crushed",apple chip duo,Everything But the Bagel Nut Duo,0.4109879924732884,8 Oz,For the Pantry
31,"TJ’s Egg, beaten",egg,Egg Salad,0.7262478102410012,10 Oz,Fresh Prepared Foods
32,"TJ’s Unsalted Butter, for greasing pan",butter,"Butter with Parmesan, Garlic & Herb",0.5830462312835278,4 Oz,Dairy & Eggs
33,TJ’s Large Eggs,eggs,Organic Pasture Raised Large Brown Eggs,0.5152738929900094,1 Doz,Dairy & Eggs
34,TJ’s Brown Sugat Oat Creamer,brown sugat oat creamer,Non-Dairy Oat Creamer Brown Sugar Flavor,0.5238071426231814,16 Fl Oz,Dairy & Eggs
35,"TJ’s Sliced Apple Cinnamon Sourdough Bread, each slice cut in half widthwise",sliced apple cinnamon sourdough bread,Sliced Apple Cinnamon Sourdough Bread,1.0,17.63 Oz,Bakery
36,"TJ’s Apple (your favorite varietal), chopped",apple,Uncured Apple Smoked Bacon,0.5351336346103208,12 Oz,"Meat, Seafood & Plant-Based"
37,"TJ’s Fleur de Sel Caramel Sauce, for drizzling",fleur sel caramel sauce,Caramel Flan,0.3063532905011116,7.04 Oz,Fresh Prepared Foods
38,TJ’s Extra Virgin Olive Oil,extra virgin olive oil,"Extra Virgin Olive Oil, Liter",1.0000000000000002,33.8 Fl Oz,For the Pantry
39,"TJ’s Fresh Fennel bulb, cut into thick slices, reserve the fronds",fennel bulb,Fresh Fennel,0.6838639335237009,20 Oz,Fresh Fruits & Veggies
40,"TJ’s Lemon, sliced into thick rounds",lemon,Lemon Bars,0.6442805868745948,10.6 Oz,From the Freezer
41,"TJ’s Orange, sliced into thick rounds",orange,Orange Pumpkin,0.7514816923769907,1 Each,Fresh Fruits & Veggies
42,"TJ’s Fresh Garlic, skin on",garlic,Organic Garlic Bread,0.6688124306727692,12 Oz,Bakery
43,TJ’s Rainbow Peppercorns,rainbow peppercorns,Black Peppercorns with Grinder,0.39204206695886057,1.8 Oz,For the Pantry
44,TJ’s All Natural Bone-In Skin-On Chicken Thighs,bone-in skin-on chicken thighs,All Natural Bone-In Skin-On Chicken Thighs,1.0,1 Lb,"Meat, Seafood & Plant-Based"
45,"TJ's Frenched, Bone-In, Center-Cut Pork Loin Chops",frenched,Herbed Dinner Rolls,0.0,12 Oz,Bakery
