name,price,unit,url,page,norm_name
Organic Crimini Mushrooms,$2.69,/8 Oz,https://www.traderjoes.com/home/products/pdp/organic-crimini-mushrooms-053437,1,mushroom
Organic Sweet Potatoes,$4.99,/3 Lb,https://www.traderjoes.com/home/products/pdp/organic-sweet-potatoes-033372,1,potato
Fresh Fennel,$2.49,/20 Oz,https://www.traderjoes.com/home/products/pdp/fresh-fennel-095748,1,fennel
Trimmed Leeks,$2.49,/6 Oz,https://www.traderjoes.com/home/products/pdp/trimmed-leeks-091030,1,leek
Steamed & Peeled Baby Beets,$2.29,/8 Oz,https://www.traderjoes.com/home/products/pdp/steamed-peeled-baby-beets-072774,1,beet
Sugar Sweet Melon,$3.49,/1 Each,https://www.traderjoes.com/home/products/pdp/sugar-sweet-melon-095369,1,melon
Saturn Peaches,$3.99,/19 Oz,https://www.traderjoes.com/home/products/pdp/saturn-peaches-096529,1,peach
Fruitful Medley,$3.99,/16 Oz,https://www.traderjoes.com/home/products/pdp/fruitful-medley-054991,1,medley
Organic Baby Red Butter Lettuce & Baby Arugula,$2.49,/6 Oz,https://www.traderjoes.com/home/products/pdp/organic-baby-red-butter-lettuce-baby-arugula-080626,1,arugula
Seedless Lemons,$2.99,/2 Lb,https://www.traderjoes.com/home/products/pdp/seedless-lemons-074895,1,lemon
Hass Avocado,$1.29,/1 Each,https://www.traderjoes.com/home/products/pdp/hass-avocado-093474,1,avocado
Ataulfo Mangos,$5.99,/1 Each,https://www.traderjoes.com/home/products/pdp/ataulfo-mangos-061226,1,mango
Organic Avocados 4 count,$4.99,/1 Each,https://www.traderjoes.com/home/products/pdp/organic-avocados-4-count-166061,1,count
Avocados 4 count,$3.99,/1 Each,https://www.traderjoes.com/home/products/pdp/avocados-4-count-112550,1,count
Leaves of Little Gem Lettuce,$2.99,/6 Oz,https://www.traderjoes.com/home/products/pdp/leaves-of-little-gem-lettuce-080012,1,lettuce
Organic Tuscan Kale,$2.79,/10 Oz,https://www.traderjoes.com/home/products/pdp/organic-tuscan-kale-098082,2,kale
Sugar Bee® Apples,$4.99,/2 Lb,https://www.traderjoes.com/home/products/pdp/sugar-bee-apples-079142,2,apple
Delicata Squash,$1.49,/1 Each,https://www.traderjoes.com/home/products/pdp/delicata-squash-050661,2,squash
Spaghetti Squash,$2.99,/1 Each,https://www.traderjoes.com/home/products/pdp/spaghetti-squash-091769,2,squash
Sugar Bee® Apple,$1.29,/1 Each,https://www.traderjoes.com/home/products/pdp/sugar-bee-apple-078597,2,apple
Kumato Brown Tomatoes,$3.99,/16 Oz,https://www.traderjoes.com/home/products/pdp/kumato-brown-tomatoes-095153,2,tomato
Yellow Squash,$2.49,/16 Oz,https://www.traderjoes.com/home/products/pdp/yellow-squash-032039,2,squash
Organic Beets,$1.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/organic-beets-053681,2,beet
Little Leaf Farms Baby Crispy Green Leaf,$2.99,/4 Oz,https://www.traderjoes.com/home/products/pdp/little-leaf-farms-baby-crispy-green-leaf-079710,2,leaf
