ingredient_id,ingredient_name,norm_name
0,TJ’s Salted Butter,butter
1,TJ’s Fresh Garlic,garlic
2,TJ’s Fresh Ginger,ginger
3,"TJ’s Jasmine Rice, rinsed",jasmine rice
4,hot water,hot water
5,TJ’s Chicken Broth Concentrate packets,chicken broth
6,"TJ’s Green Onion, thinly sliced on a bias",green onion
7,TJ’s Pork Tenderloin,pork tenderloin
8,TJ’s Mushroom & Company Multipurpose Umami Seasoning Blend,mushroom & company multipurpose umami seasoning blend
9,"TJ’s Avocado Oil, divided",avocado oil
10,"TJ’s Teeny Tiny Potatoes, sliced in half, lengthwise",potatoes
11,"TJ’s Unsalted Butter, softened",butter
12,TJ’s Honey,honey
13,TJ’s Avocado Oil,avocado oil
14,"TJ’s Baby Shanghai Bok Choy, washed and sliced in half lengthwise",baby shanghai bok choy
15,water,water
16,TJ’s Organic Coconut Aminos,coconut aminos
17,TJ’s Organic Toasted Sesame Oil,sesame oil
18,"TJ’s Crispy Garlic, to garnish",crispy garlic
19,"TJ’s Yellow Potato, thinly sliced using a mandoline or knife",yellow potato
20,"TJ’s Extra Virgin Olive Oil, divided",extra virgin olive oil
21,TJ’s Seasoning Salute,salute
22,TJ’s Sea Salt,sea salt
23,"TJ’s Trimmed Leeks, cut into thin rounds",leeks
24,"TJ’s Pie Crust, thawed according to package instructions",pie crust
25,TJ’s Shredded Unexpected Cheddar,cheddar
26,TJ’s Large Egg,egg
27,TJ’s Organic Crescent Rolls,crescent rolls
28,"TJ’s New Zealand Sharp Cheddar Cheese (or your favorite TJ's Sharp Cheddar Cheese), sliced into thin planks",new zealand sharp cheddar cheese
29,TJ’s Apple Pie Spread,apple pie spread
30,"TJ’s Apple Chip Duo, crushed",apple chip duo
31,"TJ’s Egg, beaten",egg
32,"TJ’s Unsalted Butter, for greasing pan",butter
33,TJ’s Large Eggs,eggs
34,TJ’s Brown Sugat Oat Creamer,brown sugat oat creamer
35,"TJ’s Sliced Apple Cinnamon Sourdough Bread, each slice cut in half widthwise",sliced apple cinnamon sourdough bread
36,"TJ’s Apple (your favorite varietal), chopped",apple
37,"TJ’s Fleur de Sel Caramel Sauce, for drizzling",fleur sel caramel sauce
38,TJ’s Extra Virgin Olive Oil,extra virgin olive oil
39,"TJ’s Fresh Fennel bulb, cut into thick slices, reserve the fronds",fennel bulb
40,"TJ’s Lemon, sliced into thick rounds",lemon
41,"TJ’s Orange, sliced into thick rounds",orange
42,"TJ’s Fresh Garlic, skin on",garlic
43,TJ’s Rainbow Peppercorns,rainbow peppercorns
44,TJ’s All Natural Bone-In Skin-On Chicken Thighs,bone-in skin-on chicken thighs
45,"TJ's Frenched, Bone-In, Center-Cut Pork Loin Chops",frenched
46,"TJ's Soyaki, divided",soyaki
47,"TJ's Pineapple, cut into wedges",pineapple
48,TJ's Prosciutto Wrapped Fresh Mozzarella Cheese sticks,prosciutto wrapped mozzarella cheese sticks
49,"TJ’s Zucchini, sliced into thin planks",zucchini
50,TJ’s Crunchy Sesame Sunflower Seeds Pepitas Salsa Macha,crunchy sesame sunflower seeds pepitas salsa macha
51,"TJ’s Authentic Greek Feta In Brine, crumbled",authentic greek feta brine
52,TJ’s Lemon,lemon
53,"TJ’s Cauliflower, sliced into thick planks, core intact",cauliflower
54,TJ’s Hot Honey Mustard Dressing,hot honey mustard dressing
55,"TJ’s Heirloom Tomatoes, sliced into thick rounds",heirloom tomatoes
56,TJ’s Organic Ranch Dressing,ranch
57,TJ’s Japanese Style Panko Breadcrumbs,japanese style panko breadcrumbs
58,TJ’s Black Peppercorns,black peppercorns
59,TJ’s 100% Canola Oil,canola oil
60,TJ’s Traditional Whole Milk Ricotta Cheese,traditional whole milk ricotta cheese
61,"TJ’s Steamed & Peeled Baby Beets, warmed according to package instructions, if desired, and sliced into thin rounds",steamed & peeled baby beets
62,"TJ’s Raw Pistachio Nutmeats, roughly chopped",pistachio nutmeats
63,"TJ’s Extra Virgin Olive Oil, for drizzling",extra virgin olive oil
64,TJ’s Spaghetti,spaghetti
65,"TJ’s Organic Silken Tofu, drained",silken tofu
66,"TJ’s Nutritional Yeast, plus more for sprinkling",nutritional yeast
67,TJ’s White Miso Paste,white miso paste
68,TJ’s Lemons,lemons
69,"TJ’s Black Peppercorns, plus more for serving",black peppercorns
70,"TJ’s Tiny Fruity Cuties, divided",fruity cuties
71,TJ’s Pitted Amarena Cherries with Stems in Syrup,amarena cherries with stems in syrup
72,TJ’s French Vanilla Ice Cream,french vanilla ice cream
73,TJ’s Whole Milk,whole milk
74,TJ’s Whipped Cream,whipped cream
75,TJ’s Cornbread Mix,cornbread mix
76,TJ’s All-Purpose Flour,all-purpose flour
77,"TJ’s French Vanilla Ice Cream, plus plenty more for scooping",french vanilla ice cream
78,TJ’s Multi-Floral & Clover Honey,multi-floral & clover honey
79,"TJ’s Gochujang, for rolling",gochujang
80,TJ’s Strawberry & Watermelon Marshmallows,strawberry & watermelon marshmallows
81,TJ’s Strawberry Yogurt O’s,strawberry yogurt o ’ s
82,"TJ’s Frozen Pie Crusts, thawed at room temperature for 2 hours",frozen pie crusts
83,"TJ’s Berries, (we use a mix of fresh Blueberries, Raspberries, and Blackberries)",berries
