category,product_name,price,unit,url,norm_name
Bakery,Herbed Dinner Rolls,$3.49,/12 Oz,https://www.traderjoes.com/home/products/pdp/herbed-dinner-rolls-081746,herbed dinner rolls
Bakery,Pumpkin & Spice Brioche Style Liège Waffles,$4.49,/11.64 Oz,https://www.traderjoes.com/home/products/pdp/pumpkin-spice-brioche-style-liege-waffles-081679,pumpkin & spice brioche style liège waffles
Bakery,Glazed Pumpkin Pie Spice Donut Holes,$3.49,/6 Oz,https://www.traderjoes.com/home/products/pdp/glazed-pumpkin-pie-spice-donut-holes-082063,pumpkin pie spice donut holes
Bakery,Pumpkin Spice Mini Sheet Cake,$5.99,/18 Oz,https://www.traderjoes.com/home/products/pdp/pumpkin-spice-mini-sheet-cake-076605,pumpkin spice mini sheet cake
Bakery,Sliced Apple Cinnamon Sourdough Bread,$4.99,/17.63 Oz,https://www.traderjoes.com/home/products/pdp/sliced-apple-cinnamon-sourdough-bread-081676,sliced apple cinnamon sourdough bread
Bakery,Hazelnut & Cocoa Filled Crepes,$3.99,/6.78 Oz,https://www.traderjoes.com/home/products/pdp/hazelnut-cocoa-filled-crepes-082122,hazelnut & cocoa filled crepes
Bakery,Mini Sonora Style Tortillas,$1.99,/7.5 Oz,https://www.traderjoes.com/home/products/pdp/mini-sonora-style-tortillas-073856,mini sonora style tortillas
Bakery,Corn & Wheat Tortillas,$1.99,/10 Oz,https://www.traderjoes.com/home/products/pdp/corn-wheat-tortillas-081246,corn & wheat tortillas
Bakery,Cinnamon Buns,$5.99,/13.05 Oz,https://www.traderjoes.com/home/products/pdp/cinnamon-buns-080716,cinnamon buns
Bakery,Chocolate Croissants,$3.49,/5.9 Oz,https://www.traderjoes.com/home/products/pdp/chocolate-croissants-073162,chocolate croissants
Bakery,Sandwich Starters,$3.49,/14 Oz,https://www.traderjoes.com/home/products/pdp/sandwich-starters-079959,sandwich starters
Bakery,Strawberry Mini Sheet Cake,$5.99,/18 Oz,https://www.traderjoes.com/home/products/pdp/strawberry-mini-sheet-cake-081510,strawberry mini sheet cake
Bakery,Flatbread,$2.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/flatbread-081299,flatbread
Bakery,Strawberry Doodle Cookies,$5.49,/10.58 Oz,https://www.traderjoes.com/home/products/pdp/strawberry-doodle-cookies-081523,strawberry doodle cookies
Bakery,Cinnamon Swirl Bread Sliced,$4.99,/18 Oz,https://www.traderjoes.com/home/products/pdp/cinnamon-swirl-bread-sliced-080939,cinnamon swirl bread
Bakery,Gluten Free Oatmeal Coconut Cookies,$4.99,/10.58 Oz,https://www.traderjoes.com/home/products/pdp/gluten-free-oatmeal-coconut-cookies-078927,gluten free oatmeal coconut cookies
