ingredient_id,original_text,name,norm_name,name_confidence,amount,unit,amount_confidence,preparation,preparation_confidence,recipe_title,recipe_category,likely_sub_category_1,likely_sub_category_1_score,main_category_1,likely_sub_category_2,likely_sub_category_2_score,main_category_2,likely_sub_category_3,likely_sub_category_3_score,main_category_3
1,4 tablespoons TJ’s Salted Butter,Salted Butter,butter,0.933367,,,,,,Aromatic Garlic Ginger Rice,Appetizers & Sides,,,,,,,,,
2,2 tablespoons finely chopped TJ’s Fresh Garlic,Fresh Garlic,garlic,0.942706,,,,finely chopped,0.96186,Aromatic Garlic Ginger Rice,Appetizers & Sides,,,,,,,,,
3,1 tablespoon finely chopped TJ’s Fresh Ginger,Fresh Ginger,ginger,0.99284,,,,finely chopped,0.997657,Aromatic Garlic Ginger Rice,Appetizers & Sides,,,,,,,,,
4,"1 cup TJ’s Jasmine Rice, rinsed",Jasmine Rice,jasmine rice,0.997608,,,,rinsed,0.998351,Aromatic Garlic Ginger Rice,Appetizers & Sides,,,,,,,,,
5,2 cups hot water,hot water,hot water,0.995191,,,,,,Aromatic Garlic Ginger Rice,Appetizers & Sides,,,,,,,,,
6,2 TJ’s Chicken Broth Concentrate packets,Chicken Broth Concentrate packets,chicken broth,0.984208,,,,,,Aromatic Garlic Ginger Rice,Appetizers & Sides,,,,,,,,,
7,"1 TJ’s Green Onion, thinly sliced on a bias",Green Onion,green onion,0.995748,,,,thinly sliced on a bias,0.999145,Aromatic Garlic Ginger Rice,Appetizers & Sides,,,,,,,,,
8,1 TJ’s Pork Tenderloin,Pork Tenderloin,pork tenderloin,0.997734,,,,,,Roasted Pork Tenderloin & Potatoes with Honey Umami Butter,Dinner,,,,,,,,,
9,TJ’s Mushroom & Company Multipurpose Umami Seasoning Blend,Mushroom & Company Multipurpose Umami Seasoning Blend,mushroom & company multipurpose umami seasoning blend,0.994566,,,,,,Roasted Pork Tenderloin & Potatoes with Honey Umami Butter,Dinner,,,,,,,,,
10,"3 tablespoons TJ’s Avocado Oil, divided",Avocado Oil,avocado oil,0.997538,,,,divided,0.999657,Roasted Pork Tenderloin & Potatoes with Honey Umami Butter,Dinner,,,,,,,,,
11,"1 bag TJ’s Teeny Tiny Potatoes, sliced in half, lengthwise",Teeny Tiny Potatoes,potatoes,0.994637,,,,"sliced in half, lengthwise",0.928255,Roasted Pork Tenderloin & Potatoes with Honey Umami Butter,Dinner,,,,,,,,,
12,"½ stick TJ’s Unsalted Butter, softened",Unsalted Butter,butter,0.996876,,,,softened,0.999846,Roasted Pork Tenderloin & Potatoes with Honey Umami Butter,Dinner,,,,,,,,,
13,1 tablespoon of your favorite TJ’s Honey,your favorite Honey,honey,0.962406,,,,,,Roasted Pork Tenderloin & Potatoes with Honey Umami Butter,Dinner,,,,,,,,,
14,2 tablespoons TJ’s Avocado Oil,Avocado Oil,avocado oil,0.998634,,,,,,Crispy Garlic-Adorned Bok Choy,Appetizers & Sides,,,,,,,,,
15,"1 package TJ’s Baby Shanghai Bok Choy, washed and sliced in half lengthwise",Baby Shanghai Bok Choy,baby shanghai bok choy,0.999455,,,,washed and sliced in half lengthwise,0.999921,Crispy Garlic-Adorned Bok Choy,Appetizers & Sides,,,,,,,,,
16,2 tablespoons water,water,water,0.99949,,,,,,Crispy Garlic-Adorned Bok Choy,Appetizers & Sides,,,,,,,,,
17,2 teaspoons TJ’s Organic Coconut Aminos,Organic Coconut Aminos,coconut aminos,0.999267,,,,,,Crispy Garlic-Adorned Bok Choy,Appetizers & Sides,,,,,,,,,
18,TJ’s Organic Toasted Sesame Oil,Organic Toasted Sesame Oil,sesame oil,0.998205,,,,,,Crispy Garlic-Adorned Bok Choy,Appetizers & Sides,,,,,,,,,
19,"TJ’s Crispy Garlic, to garnish",Crispy Garlic,crispy garlic,0.98917,,,,,,Crispy Garlic-Adorned Bok Choy,Appetizers & Sides,,,,,,,,,
20,"1 large TJ’s Yellow Potato, thinly sliced using a mandoline or knife",Yellow Potato,yellow potato,0.994853,,,,thinly sliced using a mandoline or knife,0.9983,Unexpected Potato Leek Galette,Appetizers & Sides,,,,,,,,,
21,"¼ cup of your favorite TJ’s Extra Virgin Olive Oil, divided",your favorite Extra Virgin Olive Oil,extra virgin olive oil,0.990665,,,,divided,0.999482,Unexpected Potato Leek Galette,Appetizers & Sides,,,,,,,,,
22,TJ’s Seasoning Salute,Seasoning Salute,salute,0.99836,,,,,,Unexpected Potato Leek Galette,Appetizers & Sides,,,,,,,,,
23,TJ’s Sea Salt,Sea Salt,sea salt,0.995299,,,,,,Unexpected Potato Leek Galette,Appetizers & Sides,,,,,,,,,
24,"½ TJ’s Trimmed Leeks, cut into thin rounds",Trimmed Leeks,leeks,0.993391,,,,cut into thin rounds,0.999909,Unexpected Potato Leek Galette,Appetizers & Sides,,,,,,,,,
25,"1 TJ’s Pie Crust, thawed according to package instructions",Pie Crust,pie crust,0.997852,,,,thawed according to package instructions,0.997462,Unexpected Potato Leek Galette,Appetizers & Sides,,,,,,,,,
26,1 bag TJ’s Shredded Unexpected Cheddar,Shredded Unexpected Cheddar,cheddar,0.990666,,,,,,Unexpected Potato Leek Galette,Appetizers & Sides,,,,,,,,,
