original_text,name,name_confidence,amount,amount_text,unit,amount_confidence,preparation,preparation_confidence
4 tablespoons TJ’s Salted Butter,Salted Butter,0.933367,4.0,4 tablespoons,tablespoon,0.999948,,
2 tablespoons finely chopped TJ’s Fresh Garlic,Fresh Garlic,0.942706,2.0,2 tablespoons,tablespoon,0.999844,finely chopped,0.96186
1 tablespoon finely chopped TJ’s Fresh Ginger,Fresh Ginger,0.99284,1.0,1 tablespoon,tablespoon,0.999925,finely chopped,0.997657
"1 cup TJ’s Jasmine Rice, rinsed",Jasmine Rice,0.997608,1.0,1 cup,cup,0.999978,rinsed,0.998351
2 cups hot water,hot water,0.995191,2.0,2 cups,cup,0.999965,,
2 TJ’s Chicken Broth Concentrate packets,Chicken Broth Concentrate packets,0.984208,2.0,2,,0.997598,,
"1 TJ’s Green Onion, thinly sliced on a bias",Green Onion,0.995748,1.0,1,,0.997596,thinly sliced on a bias,0.999145
1 TJ’s Pork Tenderloin,Pork Tenderloin,0.997734,1.0,1,,0.998592,,
TJ’s Mushroom & Company Multipurpose Umami Seasoning Blend,Mushroom & Company Multipurpose Umami Seasoning Blend,0.994566,,,,,,
"3 tablespoons TJ’s Avocado Oil, divided",Avocado Oil,0.997538,3.0,3 tablespoons,tablespoon,0.999973,divided,0.999657
"1 bag TJ’s Teeny Tiny Potatoes, sliced in half, lengthwise",Teeny Tiny Potatoes,0.994637,1.0,1 bag,bag,0.999593,"sliced in half, lengthwise",0.928255
"½ stick TJ’s Unsalted Butter, softened",Unsalted Butter,0.996876,0.5,1/2 sticks,sticks,0.999841,softened,0.999846
1 tablespoon of your favorite TJ’s Honey,your favorite Honey,0.962406,1.0,1 tablespoon,tablespoon,0.999897,,
"1 package TJ’s Baby Shanghai Bok Choy, washed and sliced in half lengthwise",Baby Shanghai Bok Choy,0.999455,1.0,1 package,package,0.999875,washed and sliced in half lengthwise,0.999921
2 tablespoons water,water,0.99949,2.0,2 tablespoons,tablespoon,0.999967,,
2 teaspoons TJ’s Organic Coconut Aminos,Organic Coconut Aminos,0.999267,2.0,2 teaspoons,teaspoon,0.999968,,
TJ’s Organic Toasted Sesame Oil,Organic Toasted Sesame Oil,0.998205,,,,,,
"TJ’s Crispy Garlic, to garnish",Crispy Garlic,0.98917,,,,,,
"1 large TJ’s Yellow Potato, thinly sliced using a mandoline or knife",Yellow Potato,0.994853,1.0,1,,0.999338,thinly sliced using a mandoline or knife,0.9983
"¼ cup of your favorite TJ’s Extra Virgin Olive Oil, divided",your favorite Extra Virgin Olive Oil,0.990665,0.25,1/4 cups,cup,0.999854,divided,0.999482
TJ’s Seasoning Salute,Seasoning Salute,0.99836,,,,,,
TJ’s Sea Salt,Sea Salt,0.995299,,,,,,
"½ TJ’s Trimmed Leeks, cut into thin rounds",Trimmed Leeks,0.993391,0.5,1/2,,0.997698,cut into thin rounds,0.999909
"1 TJ’s Pie Crust, thawed according to package instructions",Pie Crust,0.997852,1.0,1,,0.997543,thawed according to package instructions,0.997462
1 bag TJ’s Shredded Unexpected Cheddar,Shredded Unexpected Cheddar,0.990666,1.0,1 bag,bag,0.999797,,
1 TJ’s Large Egg,Large Egg,0.923054,1.0,1,,0.998411,,
1 package TJ’s Organic Crescent Rolls,Organic Crescent Rolls,0.999048,1.0,1 package,package,0.999883,,
"¼ block TJ’s New Zealand Sharp Cheddar Cheese (or your favorite TJ's Sharp Cheddar Cheese), sliced into thin planks",New Zealand Sharp Cheddar Cheese,0.99958,0.25,1/4 blocks,blocks,0.999521,sliced into thin planks,0.999767
½ cup TJ’s Apple Pie Spread,Apple Pie Spread,0.99978,0.5,1/2 cups,cup,0.999974,,
"TJ’s Apple Chip Duo, crushed",Apple Chip Duo,0.99807,,,,,crushed,0.997702
"1 large TJ’s Egg, beaten",Egg,0.996228,1.0,1,,0.99975,beaten,0.998873
6 TJ’s Large Eggs,Large Eggs,0.952759,6.0,6,,0.998304,,
1 pint TJ’s Brown Sugat Oat Creamer,Brown Sugat Oat Creamer,0.999232,1.0,1 pint,pint,0.999797,,
"1 loaf TJ’s Sliced Apple Cinnamon Sourdough Bread, each slice cut in half widthwise",Sliced Apple Cinnamon Sourdough Bread,0.989122,1.0,1 loaf,loaf,0.998799,each slice cut in half widthwise,0.920536
"1 TJ’s Apple (your favorite varietal), chopped",Apple,0.993249,1.0,1,,0.997415,chopped,0.999163
"TJ’s Fleur de Sel Caramel Sauce, for drizzling",Fleur de Sel Caramel Sauce,0.997163,,,,,,
Your favorite TJ’s Extra Virgin Olive Oil,Your favorite Extra Virgin Olive Oil,0.991438,,,,,,
