original_text,name,name_confidence,amount,amount_text,unit,amount_confidence,preparation,preparation_confidence,recipe_title,recipe_category,likely_sub_category_1,likely_sub_category_1_score,main_category_1,likely_sub_category_2,likely_sub_category_2_score,main_category_2,likely_sub_category_3,likely_sub_category_3_score,main_category_3
2 tablespoons finely chopped TJ’s Fresh Garlic,Fresh Garlic,0.942706,2.0,2 tablespoons,tablespoon,0.999844,finely chopped,0.96186,Aromatic Garlic Ginger Rice,Appetizers & Sides,Fresh,0.8625592589378357,Unknown,Fresh Vegetables,0.0472546555101871,Unknown,Veggies,0.0079037584364414,Fresh Fruits & Veggies
1 tablespoon finely chopped TJ’s Fresh Ginger,Fresh Ginger,0.99284,1.0,1 tablespoon,tablespoon,0.999925,finely chopped,0.997657,Aromatic Garlic Ginger Rice,Appetizers & Sides,Fresh,0.6179618835449219,Unknown,Fresh Vegetables,0.0536977648735046,Unknown,Spices,0.0421308502554893,For the Pantry
"1 cup TJ’s Jasmine Rice, rinsed",Jasmine Rice,0.997608,1.0,1 cup,cup,0.999978,rinsed,0.998351,Aromatic Garlic Ginger Rice,Appetizers & Sides,Fresh Vegetables,0.3678562343120575,Unknown,Fresh,0.0778919234871864,Unknown,Fresh Fruits,0.0600529424846172,Unknown
"3 tablespoons TJ’s Avocado Oil, divided",Avocado Oil,0.997538,3.0,3 tablespoons,tablespoon,0.999973,divided,0.999657,Roasted Pork Tenderloin & Potatoes with Honey Umami Butter,Dinner,Fresh Fruits,0.0818539634346962,Unknown,Cream and Creamy Cheeses,0.0818515643477439,Cheese,Fresh,0.0610312297940254,Unknown
"1 bag TJ’s Teeny Tiny Potatoes, sliced in half, lengthwise",Teeny Tiny Potatoes,0.994637,1.0,1 bag,bag,0.999593,"sliced in half, lengthwise",0.928255,Roasted Pork Tenderloin & Potatoes with Honey Umami Butter,Dinner,Cool Desserts,0.060365255922079,From The Freezer,Fresh,0.0586718581616878,Unknown,Fresh Vegetables,0.0497923046350479,Unknown
"½ stick TJ’s Unsalted Butter, softened",Unsalted Butter,0.996876,0.5,1/2 sticks,sticks,0.999841,softened,0.999846,Roasted Pork Tenderloin & Potatoes with Honey Umami Butter,Dinner,Refrigerated Dough,0.1853353530168533,Unknown,"Slices, Shreds, Crumbles",0.0898168459534645,Cheese,Fresh,0.0844857990741729,Unknown
"1 package TJ’s Baby Shanghai Bok Choy, washed and sliced in half lengthwise",Baby Shanghai Bok Choy,0.999455,1.0,1 package,package,0.999875,washed and sliced in half lengthwise,0.999921,Crispy Garlic-Adorned Bok Choy,Appetizers & Sides,Fresh,0.7465813755989075,Unknown,Smoked or Processed,0.0143145797774195,Unknown,Cool Desserts,0.0114689050242304,From The Freezer
"¼ cup of your favorite TJ’s Extra Virgin Olive Oil, divided",your favorite Extra Virgin Olive Oil,0.990665,0.25,1/4 cups,cup,0.999854,divided,0.999482,Unexpected Potato Leek Galette,Appetizers & Sides,Oils & Vinegars,0.1610541343688964,For the Pantry,Spices,0.1176727563142776,For the Pantry,"Packaged Fish, Meat, Fruit & Veg",0.0483161285519599,For the Pantry
"¼ block TJ’s New Zealand Sharp Cheddar Cheese (or your favorite TJ's Sharp Cheddar Cheese), sliced into thin planks",New Zealand Sharp Cheddar Cheese,0.99958,0.25,1/4 blocks,blocks,0.999521,sliced into thin planks,0.999767,Inside-Out Apple & Cheddar Hand Pies,Breakfast & Desserts,Cream and Creamy Cheeses,0.8531368374824524,Cheese,"Slices, Shreds, Crumbles",0.0300869029015302,Cheese,"Wedges, Wheels, Loaves, Logs",0.0085272435098886,Cheese
"1 loaf TJ’s Sliced Apple Cinnamon Sourdough Bread, each slice cut in half widthwise",Sliced Apple Cinnamon Sourdough Bread,0.989122,1.0,1 loaf,loaf,0.998799,each slice cut in half widthwise,0.920536,Baked Apple Cinnamon French Toast,Breakfast,Sliced Bread,0.7791784405708313,Bakery,Bakery,0.0373374745249748,Unknown,Refrigerated Dough,0.0258401334285736,Unknown
"6 cloves TJ’s Fresh Garlic, skin on",Fresh Garlic,0.88428,6.0,6 cloves,cloves,0.882505,skin on,0.956874,Citrusy Roasted Chicken Thighs & Fennel,Dinner,Fresh,0.8625592589378357,Unknown,Fresh Vegetables,0.0472546555101871,Unknown,Veggies,0.0079037584364414,Fresh Fruits & Veggies
"3/4 cup TJ's Soyaki, divided",Soyaki,0.998752,0.75,3/4 cups,cup,0.999952,divided,0.999623,Grilled Pineapple & Prosciutto-Stuffed Pork Chops,Dinner & Lunch,Yogurt,0.0687424391508102,Dairy & Eggs,Fresh,0.0668462663888931,Unknown,Entrées & Sides,0.0440327934920787,From The Freezer
"1 block TJ’s Authentic Greek Feta In Brine, crumbled",Authentic Greek Feta In Brine,0.995414,1.0,1 block,block,0.999628,crumbled,0.997932,Grilled Zucchini with Salsa Macha,Appetizers & Sides,Fresh,0.4752288162708282,Unknown,"Slices, Shreds, Crumbles",0.0425509773194789,Cheese,Cream and Creamy Cheeses,0.0355903133749961,Cheese
"1 head TJ’s Cauliflower, sliced into thick planks, core intact",Cauliflower,0.997164,1.0,1 head,head,0.999654,"sliced into thick planks, core intact",0.89747,Grilled & Glazed Cauliflower Steaks,Appetizers & Sides,Fresh Fruits,0.2131612002849578,Unknown,Fresh,0.0837835967540741,Unknown,Fruits,0.0649859458208084,Fresh Fruits & Veggies
