title,category,url,image_url,serves,time,ingredients
Aromatic Garlic Ginger Rice,Appetizers & Sides,https://www.traderjoes.com/home/recipes/aromatic-garlic-ginger-rice,https://www.traderjoes.com/content/dam/trjo/context-images/90859-chicken-broth-concentrate-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 20 mins,"['4 tablespoons TJ’s Salted Butter', '2 tablespoons finely chopped TJ’s Fresh Garlic', '1 tablespoon finely chopped TJ’s Fresh Ginger', '1 cup TJ’s Jasmine Rice, rinsed', '2 cups hot water', '2 TJ’s Chicken Broth Concentrate packets', '1 TJ’s Green Onion, thinly sliced on a bias']"
Roasted Pork Tenderloin & Potatoes with Honey Umami Butter,Dinner,https://www.traderjoes.com/home/recipes/roasted-pork-tenderloin-potatoes-honey-umami-butter,https://www.traderjoes.com/content/dam/trjo/context-images/63804-umami-seasoning-pork-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 45 mins,"['1 TJ’s Pork Tenderloin', 'TJ’s Mushroom & Company Multipurpose Umami Seasoning Blend', '3 tablespoons TJ’s Avocado Oil, divided', '1 bag TJ’s Teeny Tiny Potatoes, sliced in half, lengthwise', '½ stick TJ’s Unsalted Butter, softened', '1 tablespoon of your favorite TJ’s Honey']"
Crispy Garlic-Adorned Bok Choy,Appetizers & Sides,https://www.traderjoes.com/home/recipes/crispy-garlic-adorned-bok-choy,https://www.traderjoes.com/content/dam/trjo/context-images/78302-crispy-garlic-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 15 mins,"['2 tablespoons TJ’s Avocado Oil', '1 package TJ’s Baby Shanghai Bok Choy, washed and sliced in half lengthwise', '2 tablespoons water', '2 teaspoons TJ’s Organic Coconut Aminos', 'TJ’s Organic Toasted Sesame Oil', 'TJ’s Crispy Garlic, to garnish']"
Unexpected Potato Leek Galette,Appetizers & Sides,https://www.traderjoes.com/home/recipes/unexpected-potato-leek-galette,https://www.traderjoes.com/content/dam/trjo/context-images/91030-trimmed-leeks-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4-6,Time 2 h 25 mins - 2 h 1 mins,"['1 large TJ’s Yellow Potato, thinly sliced using a mandoline or knife', '¼ cup of your favorite TJ’s Extra Virgin Olive Oil, divided', 'TJ’s Seasoning Salute', 'TJ’s Sea Salt', '½ TJ’s Trimmed Leeks, cut into thin rounds', '1 TJ’s Pie Crust, thawed according to package instructions', '1 bag TJ’s Shredded Unexpected Cheddar', '1 TJ’s Large Egg']"
Inside-Out Apple & Cheddar Hand Pies,Breakfast & Desserts,https://www.traderjoes.com/home/recipes/inside-out-apple-cheddar-hand-pies,https://www.traderjoes.com/content/dam/trjo/context-images/81698-apple-pie-spread-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 25 mins - 30 mins,"['1 package TJ’s Organic Crescent Rolls', ""¼ block TJ’s New Zealand Sharp Cheddar Cheese (or your favorite TJ's Sharp Cheddar Cheese), sliced into thin planks"", '½ cup TJ’s Apple Pie Spread', 'TJ’s Apple Chip Duo, crushed', '1 large TJ’s Egg, beaten']"
Baked Apple Cinnamon French Toast,Breakfast,https://www.traderjoes.com/home/recipes/baked-apple-cinnamon-french-toast,https://www.traderjoes.com/content/dam/trjo/context-images/81676-apple-cinn-sourdough-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 8-10,Time 50 mins,"['2 tablespoons TJ’s Unsalted Butter, for greasing pan', '6 TJ’s Large Eggs', '1 pint TJ’s Brown Sugat Oat Creamer', '1 loaf TJ’s Sliced Apple Cinnamon Sourdough Bread, each slice cut in half widthwise', '1 TJ’s Apple (your favorite varietal), chopped', 'TJ’s Fleur de Sel Caramel Sauce, for drizzling']"
Citrusy Roasted Chicken Thighs & Fennel,Dinner,https://www.traderjoes.com/home/recipes/citrusy-roasted-chicken-thighs-fennel,https://www.traderjoes.com/content/dam/trjo/context-images/95748-fresh-fennel-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 45 mins,"['Your favorite TJ’s Extra Virgin Olive Oil', '1 TJ’s Fresh Fennel bulb, cut into thick slices, reserve the fronds', '1 TJ’s Lemon, sliced into thick rounds', '1 TJ’s Orange, sliced into thick rounds', '6 cloves TJ’s Fresh Garlic, skin on', 'TJ’s Sea Salt', 'TJ’s Rainbow Peppercorns', '4 TJ’s All Natural Bone-In Skin-On Chicken Thighs']"
Grilled Pineapple & Prosciutto-Stuffed Pork Chops,Dinner & Lunch,https://www.traderjoes.com/home/recipes/grilled-pineapple-prosciutto-stuffed-pork-chops,https://www.traderjoes.com/content/dam/trjo/editorial-main-images/grilled-pineapple-prosciutto-stuffed-pork-chops/78555-soyaki-porkchops_main.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 2,Time 4 h 55 mins - 8 h 55 mins,"[""2 TJ's Frenched, Bone-In, Center-Cut Pork Loin Chops"", ""3/4 cup TJ's Soyaki, divided"", ""1 TJ's Pineapple, cut into wedges"", ""2 TJ's Prosciutto Wrapped Fresh Mozzarella Cheese sticks""]"
Grilled Zucchini with Salsa Macha,Appetizers & Sides,https://www.traderjoes.com/home/recipes/grilled-zucchini-with-salsa-macha,https://www.traderjoes.com/content/dam/trjo/context-images/80795-salsa-macha-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 15 mins - 20 mins,"['TJ’s Sea Salt', '3 TJ’s Zucchini, sliced into thin planks', 'TJ’s Crunchy Sesame Sunflower Seeds Pepitas Salsa Macha', '1 block TJ’s Authentic Greek Feta In Brine, crumbled', '½ TJ’s Lemon']"
Grilled & Glazed Cauliflower Steaks,Appetizers & Sides,https://www.traderjoes.com/home/recipes/grilled-glazed-cauliflower-steaks,https://www.traderjoes.com/content/dam/trjo/context-images/80152-hot-honey-mustard-dressing-pdp.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,Serves 4,Time 15 mins - 20 mins,"['1 head TJ’s Cauliflower, sliced into thick planks, core intact', 'TJ’s Hot Honey Mustard Dressing']"
