name,price,unit,url,page
Shaved Lamb Shoulder,$11.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/shaved-lamb-shoulder-082321,1
Ground Lamb,$11.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/ground-lamb-082479,1
Quite Possibly The World's Smallest Uncured Salami,$4.49,/5 Oz,https://www.traderjoes.com/home/products/pdp/quite-possibly-the-worlds-smallest-uncured-salami-078055,1
Old Wisconsin Beef Summer Sausage,$4.99,/8 Oz,https://www.traderjoes.com/home/products/pdp/old-wisconsin-beef-summer-sausage-083417,1
Norwegian Smoked Salmon,$5.49,/4 Oz,https://www.traderjoes.com/home/products/pdp/norwegian-smoked-salmon-079274,1
Sliced Calabrese Uncrued Salami,$3.49,/5 Oz,https://www.traderjoes.com/home/products/pdp/sliced-calabrese-uncrued-salami-081864,1
Sliced Peppered Uncured Salami,$6.99,/10 Oz,https://www.traderjoes.com/home/products/pdp/sliced-peppered-uncured-salami-081863,1
Wild Alaskan Sockeye Salmon Fillets,$14.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/wild-alaskan-sockeye-salmon-fillets-068719,1
Seasoned Lamb Shoulder Rack,$11.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/seasoned-lamb-shoulder-rack-080967,1
Organic Silken Tofu,$2.49,/16 Oz,https://www.traderjoes.com/home/products/pdp/organic-silken-tofu-080590,1
Organic Tofu,$2.49,/19 Oz,https://www.traderjoes.com/home/products/pdp/organic-tofu-006237,1
Premium Beef Bone-In Rib Eye Steak,$17.99,/1 Lb,https://www.traderjoes.com/home/products/pdp/premium-beef-bone-in-rib-eye-steak-080307,1
Pineapple Teriyaki Chicken Meatballs,$4.29,/12 Oz,https://www.traderjoes.com/home/products/pdp/pineapple-teriyaki-chicken-meatballs-081225,1
Spanish Inspired Charcuteria,$5.99,/6 Oz,https://www.traderjoes.com/home/products/pdp/spanish-inspired-charcuteria-078733,1
Uncured Black Forest Ham,$4.99,/8 Oz,https://www.traderjoes.com/home/products/pdp/uncured-black-forest-ham-086863,1
Spicy Chicken Nuggets,$3.99,/12 Oz,https://www.traderjoes.com/home/products/pdp/spicy-chicken-nuggets-078222,2
Sliced Bresaola Uncured Beef Prosciutto,$6.99,/3 Oz,https://www.traderjoes.com/home/products/pdp/sliced-bresaola-uncured-beef-prosciutto-080342,2
